lon,lat,temp_f,dbt_ft,dbt_m,speed_kts,heading_de
-122.9806433,50.10873167,66.92,14.468475,4.409991039,3.4,50.3
-122.9798283,50.10935667,67.1,6.561666667,1.999995936,3.4,24.6
-122.9793533,50.11033667,67.1,9.383183333,2.859994188,3.5,21.9
-122.9787167,50.11161667,67.1,9.481608333,2.889994128,3.6,9.7
-122.9767233,50.11525,67.28,30.38051667,9.259981184,3.5,11.5
-122.9764817,50.11616667,67.28,46.555025,14.18997117,3.8,9.2
-122.9764183,50.11644167,67.28,47.17838333,14.37997078,3.7,11.8
-122.977485,50.118605,67.46,7.709958333,2.349995225,2.9,354.5
-122.9777933,50.11888167,67.46,4.494741667,1.369997216,3.4,311.1
-122.98176,50.12072833,67.64,9.481608333,2.889994128,3.2,236.1
-122.982315,50.11984833,67.82,15.81361667,4.819990206,3.1,128.8
-122.9817783,50.119835,67.82,19.52095833,5.94998791,3.7,88.8
-122.979175,50.119025,67.82,43.96316667,13.39997277,4.5,153.5
-122.9782083,50.11853333,67.82,40.68233333,12.3999748,4.3,136.3
-122.9778517,50.118195,67.64,46.52221667,14.17997119,4.4,156
-122.9772417,50.117255,67.64,56.06944167,17.08996527,4,281.5
-122.98137,50.11837667,67.64,38.74664167,11.809976,4,289.1
-122.9820683,50.11840667,67.64,28.93695,8.819982078,3.5,204.6
-122.9785117,50.11643167,67.64,57.972325,17.66996409,4.7,112.3
-122.9801133,50.11597,67.64,56.52875833,17.22996499,4.3,289.3
-122.9792917,50.11482,68,50.19675,15.29996891,4.1,107
-122.9790617,50.11477167,68,55.31485,16.85996574,4.1,106.1
-122.9783733,50.114655,68,54.78991667,16.69996607,4.2,102
-122.983585,50.11453,67.82,21.948775,6.689986406,4,278.3
-122.9806317,50.11316167,68,29.00256667,8.839982037,4.5,101.9
-122.9818033,50.112715,67.82,53.1495,16.19996708,3.9,279.1
-122.9834517,50.11299667,67.82,28.28078333,8.619982484,3.8,287.4
-122.9836133,50.113025,67.82,27.03406667,8.239983256,3.9,282.8
-122.9808733,50.11098333,68,49.2125,14.99996952,3.8,257.6
-122.9829433,50.111215,68,40.51829167,12.3499749,3.9,280.9
-122.9851933,50.11086,68,24.08131667,7.339985085,4.1,131
-122.98356,50.11024333,68,56.88965,17.33996477,4.1,121
-122.9805267,50.10948167,68,15.452725,4.709990429,4.2,225.9
-122.982105,50.10924667,68,32.25059167,9.829980025,3.9,290.5
-122.9834717,50.10950833,68,38.35294167,11.68997625,4.2,280
-122.984,50.109575,68,26.83721667,8.179983378,4.1,281.3
-122.9847567,50.10876667,68,44.35686667,13.51997253,3.9,124.1
-122.9859833,50.10835667,68,36.97499167,11.2699771,4,279.1
-122.9852583,50.10685833,68,32.31620833,9.849979985,3.5,270
-122.98838,50.10454,68.18,10.334625,3.149993599,2.4,252.6
-122.9885483,50.10465667,68.18,5.807075,1.769996403,1.8,299.8
-122.9869117,50.10468667,68.36,8.727016667,2.659994595,2.9,57.4
-122.9858433,50.10592167,68.36,25.52488333,7.779984191,3.7,303.8
-122.9826717,50.10841,68.18,23.29391667,7.099985573,4.4,37.4
-122.9813967,50.10973167,68.18,27.657425,8.42998287,4.6,27
-122.9807467,50.11065333,68.18,36.6141,11.15997732,4.8,11.1
-122.97989,50.112105,68.18,23.45795833,7.149985471,4.7,12.8
-122.979775,50.11235167,68.18,22.99864167,7.009985756,4.7,21.4
-122.9788617,50.11352167,68,31.46319167,9.589980513,4.5,23
-122.97854,50.11402167,68,36.6141,11.15997732,4.6,21
-122.9777983,50.11586833,68,58.00513333,17.67996407,4.7,23.3
-122.9783983,50.11722667,68.18,56.791225,17.30996483,4.9,209.7
-122.9791917,50.11614333,68.18,56.594375,17.24996495,4.9,199.5
-122.979405,50.11576833,68.18,55.08519167,16.78996588,4.8,197.7
-122.98035,50.11407833,68.36,37.13903333,11.319977,2.4,185.5
-122.9817633,50.11180833,68.54,54.39621667,16.57996631,4.1,189.4
-122.9824517,50.110185,68.54,62.86076667,19.15996107,4.6,193.2
-122.9851333,50.10721333,68.54,28.7401,8.7599822,4.9,216
-122.9851383,50.10803667,68.72,57.21773333,17.43996456,3.9,30.1
-122.9846717,50.10857833,68.72,51.21380833,15.60996828,3.5,33.3
-122.9835517,50.10998,68.72,44.12720833,13.44997267,4.2,33
-122.9821533,50.11250667,68.72,77.91979167,23.74995174,4.4,5.1
-122.9813333,50.11381333,68.72,33.26765,10.1399794,4.4,24.8
-122.9796,50.11688667,68.72,52.16525,15.89996769,4.5,37.8
-122.9789517,50.1177,68.72,56.72560833,17.28996487,4.6,15.7
-122.9788733,50.11794833,68.72,53.444775,16.2899669,4.5,6.2
-122.9785717,50.11932167,68.72,34.12066667,10.39997887,4.4,4.6
-122.9800483,50.11759667,69.08,57.0865,17.39996464,4.7,204.6
-122.9812983,50.11593833,69.08,57.4802,17.5199644,4.9,215.2
-122.98223,50.11379333,69.08,24.73748333,7.539984679,4.9,203.2
-122.9835133,50.11194167,69.08,73.88436667,22.51995424,5.1,197.8
-122.9841867,50.111005,69.08,39.79650833,12.12997535,5,211.4
-122.9845567,50.11066333,69.08,31.66004167,9.649980391,5.1,208.3
-122.9848433,50.10981667,69.08,36.318825,11.06997751,4.9,189.2
-122.9851783,50.10926333,69.08,27.39495833,8.349983033,5,216.3
-122.9846283,50.10941167,69.26,26.279475,8.009983724,4.5,14.6
-122.9844967,50.111505,69.26,26.082625,7.949983846,4.1,24.9
-122.9834417,50.117705,69.44,16.633825,5.069989698,4.6,83.9
-122.9812817,50.11913833,69.44,29.16660833,8.889981936,2.2,265.4
-122.9796733,50.11987,68.9,35.00649167,10.66997832,3.2,337.4
-122.98131,50.12006833,69.08,17.618075,5.369989088,2.7,203.4
-122.981195,50.11965833,69.08,22.27685833,6.789986203,3.7,179.3
-122.983485,50.11806167,69.44,3.805766667,1.159997643,3.1,194.1
-122.9839317,50.11808667,69.44,3.937,1.199997562,2.3,281.4
-122.9843767,50.11583667,70.16,20.0787,6.119987564,4.2,158.7
-122.9842733,50.11562,70.16,16.99471667,5.179989474,4.1,163.4
-122.985005,50.1132,70.16,14.5669,4.439990978,4.1,191.7
-122.9860383,50.109945,69.98,7.775575,2.369995184,3.9,176.6
-122.9823267,50.10950833,69.8,37.95924167,11.56997649,4.3,33.7
-122.9814383,50.11062167,69.44,63.25446667,19.27996082,4.5,29.4
-122.9828567,50.11312,69.44,27.75585,8.459982809,4.3,279.8
-122.9841017,50.11293333,69.62,24.86871667,7.579984597,4.7,178.5
-122.98335,50.1125,69.8,33.53011667,10.21997923,4.5,107.1
-122.9820667,50.11228333,69.8,80.83973333,24.63994993,4.6,94.6
-122.9811367,50.11229,69.8,50.32798333,15.33996883,3.8,101.6
-122.9851333,50.111305,69.98,20.27555,6.179987442,2.7,164.9
-122.9841167,50.11094167,70.16,36.64690833,11.1699773,4.1,109.8
-122.98259,50.11055667,70.16,48.917225,14.9099697,3.9,119.9
-122.9812917,50.10777833,70.52,5.610225,1.709996525,1.3,333.2
-122.981185,50.10894167,70.52,23.39234167,7.129985512,3.3,91.5
